[General]
Name|Liz Katz
160|이것이 지금 우리가 저 개자식... 아니면 저 년을 잡을 수 있는 가장 중요한 정보일 거야.
161|오 그래, 그래! 더 이상 견딜 수 없어. 끝까지 파고들어야 해, 끝까지... 내 말은, 이 살인 미스터리의 끝까지! ... 좋아, 와우. 미안, 너무 강렬해지고 있어. 하지만, 이게 지금 저 교활한 닌자 개자식을 잡을 수 있는 가장 중요한 단서일 거야.
162|어렸을 때 막다른 골목에 자주 부딪혔지, 그렇지?
163|아니, 너무 과장하고 있어.
163.1|너무 과장하고 있어. 실제 단서에만 집중해줘.
164|음... 이건 보통 영화에서 드럼 소리가 나기 시작하고, 사람들이 카드를 꺼내고, 물건을 지적하고, 책상에서 잠들고, 마침내 해야 할 일을 해낸 다음, 가장 섹시한 캐릭터들이 악당을 잡으러 가기 전에 극적으로 키스하지 않고도 스스로를 칭찬하는 부분이야. 이 모든 것이 60초 안에!
165|물론이지, 하지만 현실에서는 아니겠지. 우리가 이해하거나 아니면 거기서 죽거나. 행운을 빌어, 파트너!
166|알았어. 이리 와.
167|이 계획을 실행하는 것부터 시작하자, 그러면 더 화끈한 다른 것을 생각할 수 있을 거야.
168|음, 우리가 직접 환기구의 폐쇄적인 어둠 속으로 들어갈 수도 있을 거야. 놀라움 없이 화염방사기로 살인자를 쫓아낼 수도 있겠지. 환기구를 쉽게 돌아다니는 방법을 이미 알고 있는 미친 포식자와 우리 둘이 맞서고, 바라건대 화염방사기의 연기와 가스에 질식하지 않기를 바라면서.
169|아니면 집에 불을 지를 수도 있겠지. 그렇게 하면 환기구가 연기로 가득 찰 거야. 그러면 살인자는 밖으로 나오거나 집과 함께 타죽어야 할 거야... 바라건대 우리 없이 말이야.
170|하지만 어쩌면 우리가 환기구에 넣어 모두가 피울 수 있는 무언가를 찾을 수도 있을 거야. 살인자가 나올 때까지... 그리고 아마도 우리가 웃는 동안 우리 모두를 죽이겠지. 음...
171|하지만 우리는 차원 이동 장치를 만들 데 필요한 재료를 찾을 수도 있어. 오븐에서 나오는 연기를 환기구 안으로 보내는 거야. 그렇게 하면 오븐에서 뭔가 태우면 환기구가 연기로 가득 찰 거야. 하지만 이 아이디어는 실행하기 어려울 수도 있어.
172|그래, 알아: 나는 9레벨 마법사가 아니야.
173|알았어, 계속 생각할게. 어쩌면 중력을 왜곡하지 않고도 시공간을 가로질러 두 개의 다른 장소를 연결할 수 있는 다차원 디스크를 발사하는 일종의 에너지 총을 고안하고, 활화산을 찾는 것이 어떨까...
174|와우! 봐봐, 생존 공예술에서 레벨업했네.
175|음, 이 집에는 환기구가 많아, 거의 방마다 하나씩 있어. 그 멋진 머리를 다시 써서 연기를 더 잘 집중시킬 수 있는지 봐줘. 차고에 있는 이 환기구가 환기구 안팎으로 들어갈 수 있는 유일하게 큰 곳 같아. 당신이 일하는 동안 내가 이 방을 지켜볼게. 뭔가 듣거나 보면 알려줄게.
176|내가 예상했던 파티는 아니지만, 끔찍한 일들이 일어났을 수도 있었음에도 불구하고, 사실 이 미스터리를 당신과 함께 해결하는 것보다 더 선호하는 곳은 없어. 행운을 빌어.
177|어때, 파트너?
178|축하해. 모든 것이 내 계획대로 되고 있어.
179|하, 하, 하. 아니야. 그냥 우스꽝스러울 뿐이야, 왜냐하면 우리가 이제 막 살인자를 밝혀낼 참이거든.
180|확실히, 꽤 섹시한 의상이네요. 제안해줘서 고마워요. 하지만 이 살인 미스터리 해결로 돌아가죠.
181|프로이트의 50가지 그림자를 연출하고 싶어? 그렇다면, 나는 당신의 몸으로 뭘 할 수 있을지 몇 가지 아이디어가 있어... 하지만 이 살인 미스터리를 해결하는 것으로 돌아가자.
182|와우. 그리고 팬케이크 모자를 쓴 토끼가 필요하다고? 이 이야기는 여기서 그만하고 이 살인 미스터리를 해결하는 것으로 돌아가자.
183|걱정 마: 나는 완벽한 천사는 아닐 수도 있지만, 악마도 아니야. 그냥 좋은 지적이야, 왜냐하면 우리가 이제 막 살인자를 밝혀낼 참이거든.
184|조심해, 우리는 범죄와 싸우고 있어, 나에게 팔라딘처럼 굴 필요 없어, 나는 불경한 행동에만 눈길이 갈 수도 있으니까... 하지만 이 살인 미스터리를 해결하는 것으로 돌아가자.
185|잘 말했어. 버터처럼 미끄러운지 아니면 설사약 같은지 모르겠네. 하지만 이 살인 미스터리 해결로 돌아가죠.
186|와우. 당신이 공감하는 줄 알았는데. 그럼 우리의 관계를 초기화하자. 마지막으로 내 호감을 사려고 노력해봐, "파트너"... 이 살인 미스터리 해결로 돌아가자.
187|누군가 환기구에서 기침하고 두드리는 소리를 들었어. 그러니 우리가 하는 모든 것이 통하고 있어!
188|하지만 살인자를 완전히 질식시키기 전에, 우리가 그가 차고로 나왔을 때 상황을 어떻게 처리할지 생각해야 한다고 생각했어.
189|슈퍼 스매시 해머 마스터 게임하는 거 아니야... 난 그를 잡아서 정체를 밝히고 싶어. 그리고 보강 병력이 필요할 거야. 나는 술 소비를 감시하는 그 까탈스러운 사람들 중 적어도 한 명을 모집하는 것을 제안해. 한 명이 우리 편이 되면, 화면에 Zapper를 대고 오리를 쏘는 것처럼 간단할 거야.
190|Patrick은 Madison과 Ashley의 사촌이었어. 그들이 누구인지 알 수도 있으니, 정체를 밝힐 때 그들이 있어야 해.
191|정확해. 이제 목표에 너무 가까워져서 느낄 수 있어. 진심으로, 다리 사이에서 느껴져. 우리는 절정의 계시에 점점 가까워지고 있어. 남은 길을 당신 옆에서 함께할 거야, 파트너.
192|쇼는 끝났어! 널 잡았어.
193|Frank: 아니, 당신은 경찰이 아니야. 그리고 우리는 그를 심문해야 해.
194|자, 모든 베팅은 끝났기를 바라... 이제 대공개 시간이니까! 이 미스터리한 침입자는 누구일까?
195|물론, Patrick이지. 그 외에는 누구도 될 수 없었어.
196|고마워, 파트너.
197|Patrick의 소위 잘린 머리는 그가 사라진 지 불과 몇 분 만에 얼어붙은 채 발견되었어. 실제 사람 머리가 섭씨 37도에서 영하 18도까지 내려가기에는 너무 빨라, 이 냉동고에 카보나이트 모듈이 장착되어 있지 않다면 말이지. 그러니 가짜 머리였어.
198|게다가, 에어컨 블록을 재가동했을 때, 우리는 피의 홍수에 흠뻑 젖었어...
199|아무튼, 그 피는 가짜 피의 독특한 냄새가 났어. 어떻게 그걸 아냐고 묻는다면? 내 트렁크에 가짜 피가 있거든! 아니, "있었지"라고 말해야 할까. 내 가짜 피 재고가 전부 사라졌어, 아마도 Patrick이 자신의 몸이 해당 모듈에 의해 비극적으로 제거된 것을 위장하기 위해 사용했을 거야.
200|소위 살인자가 환기구를 사용했다는 사실에 관해서는, Patrick이 내 파트너를 공격한 후 도망친 유일한 가능한 설명이었어.
201|그리고 가장 명백한 단서 중 하나는, Patrick 자신이 나를 이 파티에 몰래 초대했다는 것을 발견한 거야. 자위를 위한 가짜 계정을 사용해서 말이지... 아마도 내 트렁크에서 몇 가지 물건을 훔쳐서 주의를 분산시키는 데 사용하려고 했을 거야.
202|파트너, 이어서 설명해줄래?
203|응? 그래, 우리가... 잠깐, 우리가 뭘 했지?
204|아, 그래, 그거. 으... 우리가 해냈어.
205|응? 아, 미안. 좀 딴생각을 했어. 그냥... 와우, 정말 대단한 밤이었어. 정말 스트레스를 풀어야 해. 지금 당장. 그리고 아주 많이.
206|음, 이 살인 미스터리를 해결했네! 정말 모험이었어. 아드레날린이 넘치고, 쌓인 긴장감도 많았어. 당신은 수습 탐정의 자질이 있을지도 몰라. 그리고 파트너와 계속 일하는 것도 좋겠지만, 당신이 아직 완전히 준비되지 않은 것 같아. 나는 우리가 함께 좋은 기회들을 놓친 것 같아. 하지만 그게 일의 일부야, 어린 Padawan. 어쩌면 우리의 길이 다른 시체 위에서 다시 교차해서 또 다른 협력을 시도할 수도 있을 거야.
207|나를 문까지 데려다줄래?
208|도와줘서 다시 한번 고마워. 이 파티가 이제 겨우 정상으로 돌아온 것 같지만, 나는, 으... 정말 개인적인 일을 처리해야 해. 나는, 으... 이 마스크를 침대에서, 어쩌면 촉수와 부드러운 베개와 함께 "조사"해야 해.
209|오늘 밤, 우리는 몇 가지 미스터리를 풀었어, 그래. 그리고 나는 이 파티를 머릿속에서 계속해서 되새겼어. 이 모든 것을 통해 한 가지를 결론 내렸어: 당신은 이 파티에 남아 있어야 해. 그들은 정말로 당신이 여기 필요해.
210|내가 그렇게 말하는 건 진실이기 때문이야. 우리 둘 다 내가 머물 수 없고 당신이 떠날 수 없다는 것을 알아. 우리는 거의 특별한 것을 경험할 뻔했어. 하지만 내가 머무른다면, 성공하지 못할 거고 후회할 거야. 오늘 밤은 아닐지라도, 내일 아침 숙취가 있을 때도 아닐지라도, 나중에는 평생 동안 후회할 거야.
211|다른 냉동고에서 또 다른 잘린 머리를 찾을 수 있을 거야. 우리는 이 파티를 결코 잊을 수 없을 거야. 하지만 내가 가는 곳에 당신은 함께 갈 수 없어. 내가 해야 할 일은 나만이 할 수 있는 일이야. 몇몇 파티 참석자들이 찾은 몇 가지 단서가 이 빌어먹을 세상에서 청바지 더미로 귀결되지 않는다는 것을 이해하는 데는 그리 많은 것이 필요하지 않아. 언젠가 당신은 이해할 거야.
212|쉿. 이것에 대해 묵상해.
213|널 핥아줄게, 얘야.
214|나, 으... 응. 시도해봐. 내 말은, 잠깐, 뭐라고 했어?
215|오 그래. 아니, 그건, 으.. 응, 우리가 해결했어, 으... 네 바지.
216|그냥 여기 너무 덥잖아, 알지? 왜 그렇게 옷을 많이 입고 있어?
217|물론이지, 하지만 안 돼. 당신이 그렇게 하도록 내버려둘 수 없어.
218|들어봐: 오늘 밤 나는 무언가를 배웠어. 그리고 이제 그냥 당신에게 가고 싶어. 아니, 내 말은. 당신이 나를 감당할 수 없을 것 같아. 제발 나를 조종해줘. 아니, 정신을 차려야 해. Liz, 정신 차려! 오늘 밤 나에게 너무 많은 감정들이 휘몰아쳐.
219|들어봐: 중간은 없어, 타협도 없어. 전부 아니면 전무야. 나는 그 이하로는 견딜 수 없어.
220|지금 당장 당신의 거시기를 줘! 당신이 내 안에 있는 것을 느끼고 싶어. 아니, 미안. 나는 당신에게서 그 이상을 원해. 당신의 모든 것을 원해. 모든 단단한 부분을. 하지만 당신에게 그럴 수는 없어.
220.1|당신의 모든 손가락, 당신의 혀를 줘. 아니, 미안. 나는 당신에게서 그 이상을 원해. 당신의 모든 것을 원해. 당신의 아름다운 곡선 하나하나를. 하지만 당신에게 그럴 수는 없어.
221|정말로 나를 감당할 수 있을 거라고 생각해? 내가 두렵지 않아?
222|이 밤이 어쩌면 우리가 함께하는 유일한 밤이 될 수도 있다는 걸 깨달아? 우리는 항상 이 밤의 기억을 가질 테지만, 그 외에는 아무것도 약속할 수 없어.
223|네가 나에게 전부를 준다면, 나도 너에게 전부를 줄게. 손을 잡고, 몸을 맞대고. 그냥... 날 감당할 수 있다고 말해줘. 말해줘.
224|오, 호, 호. 심문 중에 역심리를 사용하는 거야? 나쁜 경찰 역할을 하고 싶어? 잘 했어. 이리 와, 파트너!
225|기다려!
226|그 마스크, 넌 그게 필요할 거야!
227|물론이지, 하지만 그게 또 재미있는 부분이고, 나는 도착한 지 몇 분 만에 누가 희생자가 될지 파악하는 데 꽤 능숙해.
228|단 한 사람만을 위한 관객? 그건 그 "사람"에 따라 달라지겠지...
229|Liz Katz의 일곱 번째 강림을 감당할 수 있는 자에 대한 예언에 대해 이야기하고 싶은 거야?
230|아니. 지금은 아무도 네가 선택받은 자라고 믿지 않는 때야, 메뚜기. 사랑 장면은 네가 자신을 증명하기 시작한 후에 나오는 거야.
231|나는 그런 종류의 옛 멘토가 되고 싶지는 않지만, 네 신뢰에 감사해.
232|네 지혜가 드러나고 있어. 그걸 잃지 마.
233|시도해 볼 수는 있겠지만, 우리가 계속 파티를 즐기는 게 너에게 더 좋을 거야...
234|하, 하, 하. 우리의 힘을 합쳐... 오늘 밤 운명이 우리에게 무엇을 가져다줄지 볼 거야!
235|"함께" 한다고? 어쩌면 우리가 가끔 재미있는 것들을 "함께" 할 수도 있겠지만, 음... 우리는 이제 막 만났어. 먼저 서로를 알아가자.
236|계속 불쾌하게 굴면 내 몸이 네게 뭘 할 수 있는지 곧 알게 될 거야! 카펫의 핏자국을 지우는 법을 아는 여자와는 절대 장난치지 마.
237|아직 아니야. 나는 아직 이 파티를 탐색하면서 모두와 알아가고 있어.
238|알았어. 어디 보자... 네가 제일 좋아하는 닌자 거북이는 누구야?
239|응. 그 카타나들은 정말 대단해.
240|응. 나도 괴짜들을 좋아해.
241|응! 나도 가장 좋아하는 거야!
242|뒷이야기 하나: 내가 네 살쯤이었을 때, "인간형으로 변한 동물들"이라는 걸 잘 이해 못 하고 그냥 동물 옷을 입은 사람들이라고 생각했어. 그리고 Michelangelo를 정말 좋아해서... 내 다섯 살 생일에도 나타났어! 그때부터 일이 꼬이고 이상해졌지...
243|응. 반항아들은 안전해.
244|음... 하키 마스크를 쓴 남자...
245|와우. 그럼, 네가 없으면 다른 곳을 찾아볼게.
246|알았어, 어디 보자... 일대일 대결에서 누가 이겨: Wolverine 아니면 Deadpool?
247|이 질문에 네가 쏟는 모든 관심에 감사해.
248|음... 알았어, 좋아. 납득했어.
249|정확히 내 생각이야. 그가 더 잘, 더 빨리 재생하거든.
250|어쩌면, 누가 알아. 멋진 싸움이고 Wolverine은 절대 포기하지 않을 거야.
251|Wolverine이 그의 장르에서 꽤 원조임에도 불구하고, 나는 여전히 Deadpool을 더 선호해.
252|음... 오 봐봐, 이 집에는 스위치가 있어! 이런 건 전에 본 적이 없어! 실례합니다, 정말 꼭 하나하나 전부 확인해 봐야겠어.
253|아니, 그냥 이 캐릭터가 더 오래되었다는 뜻이었어.
254|나는 키 작은 남자들에 대해 아무런 문제가 없어.
255|좋은 지적이야. 내 말은, 나는 털복숭이 남자를 좋아할 수 있지만, 그건 야수야. 음, "야수"는 아니지만, 무슨 말인지 알겠지.
256|맞아. 그건 마스크로만 통할 거야. 나는 마스크 유지를 정말 중요하게 생각하고 있어.
257|그래. 나는 코스튬 입는 거 정말 좋아해!
258|이상하게 들릴지 모르지만, 맞아.
259|정확한 의상을 디자인하는 데는 많은 시간과 기술이 필요해. 그리고 안에 있으면 절대 편안하지 않아. 종종 혼잡한 공간에서 오랫동안 입고, 행사에 참여하고, 정신과 몸을 건강하게 유지해야 해... 하지만 그만한 가치가 있고, 정말 좋아하는 일을 하면서 돈을 받는 건 즐거워!
260|정말 귀엽게 행동하려는 시도이기를 바라... 하지만 공익 광고: 코스프레는 그 자체로 동의가 아니야!
261|다행히 내가 널 좋아해서 다행이야, 말 그대로 받아들일 수도 있었어. 하지만 공익 광고: 코스프레는 동의가 아니야.
262|사요나라 바카!
263|오, 고마워!
264|나한테 더 이상한 걸 요구한 적도 많아, 믿어봐.
265|알았어, 어쩌면 그 정도는 아닐 수도.
266|그리고 진심으로, 나는 갈 거야.
267|더 좋은 생각이 있지만, 이 파티 후에야. 하지만 먼저, 파티를 즐기자.
268|와우. 그거 어디서 찾았어? 여기서 음료 찾는 건 일종의 미니 게임이야.
269|선생님, 당신은 제 영웅이에요. 영원히 은혜를 갚을게요.
269.1|고마워요, 아가씨. 당신은 공식적으로 내 영웅이야.
270|음, 네가 상위권에 있네!
271|와우. 딸꾹 죄송합니다. 모든 것이 조금씩 흔들리기 시작하네요. 보세요, 제 팔이 촉수 같아요. 하, 하, 하.
272|또 한 잔? 고마워... 나만 여기 덥나? 누가 나랑 같이 자쿠지에서 식히고 싶어? 하지만 먼저, 내 트렁크에서 뭔가 가져와야 해. 왜냐하면 이제 때가 됐어... 딸꾹 죄송합니다. 크라켄을 풀어줄 때야!
273|오 세상에, 나 정말 많아! 하지만 내가 Liz Katz이니까, 하나가 유독 돋보인다고 생각해.
274|사실, 특별한 파티에서만 꺼내지만, 네가 지금까지 이 파티를 정말 재미있게 만들어줘서, 안 될 게 뭐 있어? 미쳐보자고. 1분만 줘, 금방 돌아올게.
275|오, 안녕. 너는 착하고 뭐 그렇지만, 으... 거리를 좀 둬. 나에게 공간을 좀 줘, 알겠어?
276|네 새 애완동물 어때?
277|매혹적으로 으르렁거린다
278|고마워. 마음에 든다니 다행이야. 이제 어디까지 했더라?
279|이건 네코 메이드 복장이야. Liz "Katz", 고양이, Neko... 됐어, 벗을게.
280|음, 너는 훌륭한 조수였어, 우리는 분명 새로운 다이나믹 듀오야. 잠깐만, 갈아입고 올게.
281|휴. 드디어 현실 세계로 돌아왔네. 우리 허리띠에 또 다른 퍼즐 조각이 달렸어. Patrick이 자신의 실종에 어떤 식으로든 연루되어 있거나, 어쩌면 일종의 정신병적인 가짜 자살 같은 속임수에 연루되어 있는 것 같아.
282|이것은 확실히 단서야. 그가 살해당하기 전에 이 페이지가 열려 있었어. 우리는 이것이 실제로 Patrick의 필적인지 확인한 다음, 이 기호나 암호가 무엇을 보호하는지 알아내야 해. 누군가 아는 것이 있는지 알아봐.
283|전부 말해줘!
284|음, 이 단서는 잘 익은 멜론 한 쌍보다 더 흥미진진해! 그 비밀의 책을 가져와!
285|웃는다
286|사탕, 아이스크림. 내 말은, 집중해! 우리 집중하자. 결국... 살인이 일어났잖아. 우리는 서로에 대한 명백한 감정을 버리고, 냉정하고 단단한 논리를 통해 이 살인 미스터리를 해결함으로써 평범함을 극복할 거야. 그리고 나서는? 네 뇌를 너무 세게, 여러 번, 여러 자세로 박살내버릴 거야! 그러니 본론으로 돌아가자, 파트너.
287|크라켄을 풀어줄 때야!
288|이걸 어떻게 해야 할지 모르겠어.
289|아니. 지금은 중요하지 않아.
290|그게 선이었어. 네가 방금 선을 넘었어. 죽을 준비 해.
291|보이지만, 내가 이걸 가지고 뭘 하길 바라?
292|오 세상에.
293|웩!

[Responses]
5afa20a3-da2a-472f-8fb1-f8fc2dbf8165|네, 물론이죠.
b06643e8-cf1a-4303-83cc-41cdab2086b6|사실, 그녀는 여기 있어요. Madison이에요.
a16f6268-cc6c-4d83-9403-a42eb9c381ad|네. Madison이에요.
73f19a66-3420-4b49-bd54-bafce0441246|아직, 작업 중이에요.
543e8eaa-c390-43f2-b665-0be5400aab60|아무 말도 하지 않는다
d578ac40-96b0-49d6-94c0-3de0c0a8be0c|아무 말도 하지 않는다
6c6cc68f-ca88-406e-868c-49dd1a050aa2|워! 여기가 살인 미스터리 파티인 줄 몰랐어요!
eca3666c-f011-482c-a9a3-d5c20480cffc|워! 여기가 살인 미스터리 파티인 줄 몰랐어요!
a462946a-e3ab-487d-8a61-5159c4413be5|아무 말도 하지 않는다
b6ca5f8e-b654-4ec2-88fe-d1105e634f26|"궁극의 경험"이라고요?
e4b3107d-5096-493f-90db-11593da08b56|"궁극의 경험"이라고요?
ffd20264-8d71-4f53-9fb8-7cafaaccfc3c|아무 말도 하지 않는다
e69f393e-a903-44f0-afd3-b7359aa98543|아무 말도 하지 않는다
bbfbe8fc-e12b-420a-8602-a8a7ce42149a|이 파티에 딱 필요한 거야!
c6996018-4072-4e28-8159-909875d33677|그냥 Link라고 불러줘. 아니면 Luke. 아니면 Neo. 아니면 Harry...
6b165fd9-185b-4a97-bd7a-9e95b467c585|그냥 Samus라고 불러줘. 아니면 Rey. 아니면 Katniss. 아니면 Diana.
103c351f-2ec0-417a-b5b5-69bf858d148d|알았어, 근데 그 트렁크 안에 이 파티를 더 좋게 만들 수 있는 뭐가 있을지 기대돼.
6d6bea5c-3756-4e55-986e-8da5324652e0|할 일이 많네.
1913a5d2-7d34-44c8-8a35-c24ce5369405|... 어...
a3bf6254-cd34-4a4f-9012-dc2850d0ddc6|그럼 옷을 쉽게 갈아입을 수 있게 코스튬을 많이 가져오는 거야?
161c80d6-8d98-441d-8dab-f40eeaa0573c|우리 그거 열어봐야 해!
fa103b39-21f3-4c93-b277-53470cf2f2ce|당신이 가져온 그 멋진 트렁크 말이야.
b86b9379-7977-4c47-bb51-2837cf302588|엉덩이가 예쁘네.
061657bd-2f4e-4170-85c9-5dde6154cda2|몸 하나쯤은 들어갈 정도로 충분히 커 보이지 않아?
82fe6036-0a7f-48e1-a7c9-2f911e39fab1|그럼 다른 잡동사니는 트렁크에 뭘 숨겨두는 거야?
7b8ddbe9-97b8-4fb5-9c06-0d975993fef7|... 어떻게 알아?
2fd759e2-7a26-4ca4-be8b-5ac9470a09e6|그럼 다른 잡동사니는 트렁크에 뭘 숨겨두는 거야?
dbdcd29d-f35e-41b4-828b-b435e4c979db|알았어... 그럼 다른 잡동사니는 트렁크에 뭘 숨겨두는 거야?
a6ed555d-7078-4834-9f0a-63a992bf87b4|죄송해요. 사실, 당신이 가져온 그 멋진 트렁크에 대해 묻고 싶었어요.
5b76647f-6837-4104-b7ca-a7fb8f5c32ea|그럼 다른 잡동사니는 트렁크에 뭘 숨겨두는 거야?
4bc398c1-9d21-4742-973e-45fb285ca601|제가 당신의 관객이 될 수 있어요.
75d7843b-9897-4a61-a5df-278e90f0cc93|코스튬, 장난감, 수갑 같은 걸로 함께 할 수 있는 재미있는 일들이 많아.
66aab582-fa9c-45cc-85b0-53a980891fe4|완전 그래!
544a2c9d-9b52-454f-902d-c3ad6a7009c0|별로. 자쿠지는 별로야.
49a6f111-7831-421c-9d4f-f08cd5d917c2|같이 자쿠지 가서 쉬는 건 어때?
fdeb22a7-92db-45cd-b0af-9354e8266b76|아니요. 괜찮아요, 이해해요. 저도 오늘 밤 여기 있는 걸 후회하지 않아요.
991993c8-5276-42b6-bf73-fcda2150005b|걱정 마. 내가 가서 가져올게.
64ddadb3-336d-4db7-8b10-ac9ecd8a6d70|아무 말도 하지 않는다
f4d56d97-3251-4b1f-992e-363d80dd617d|아무 말도 하지 않는다
d2fef8c7-37e8-4a0d-837a-665307c4f803|아무 말도 하지 않는다
fd82f8d4-170b-4de7-8453-8c9172063d1f|알았어. 우선, 내가...
b8b6f6cb-c1a7-422d-be0b-884e21b64869|네, 그리고 제가 도와드릴 수 있어요, 왜냐하면 제가 본 것 같아요...
74b07d45-c084-41c8-9fb9-65eb893c3692|알았어. Liz, 널 믿어.
42b76d04-0bdd-4360-9cd1-d898d780fa78|일단은 네 말을 믿어야 할 것 같아... 지금은.
4b75dec9-fc46-4a40-8ede-3e6003e9c911|아무튼, 차고에서 차단기를 다시 올리려고 할 때 누군가 날 공격했어.
ae5a8ef6-ca04-416b-8fe2-1c6cc59dd359|파트너... 연인?
41616251-32e5-4b01-8a08-c35faf059186|우리는 합의에 도달할 수 있을 거야. 넌 페이지 하단의 작은 글씨가 될 수 있어, 자기.
f831bac1-8dd0-4a4f-9370-0486864bce22|범죄의 파트너. 범죄를 해결하기 위한 파트너 말이야.
81654f94-3c6c-4610-9a80-a7f0e5001ad1|아, 알았어. 그럼 살인자가 차고에서 날 공격했다는 걸 알아야 할 거야!
d25b5032-ea36-467c-9460-9b9dc6db66b1|아, 알았어. 그럼 살인자가 차고에서 날 공격했다는 걸 알아야 할 거야!
c7771537-92c4-416d-92ef-f6f0bfe82245|아, 알았어. 그럼 살인자가 차고에서 날 공격했다는 걸 알아야 할 거야!
f790c94c-b814-4dd2-9480-55b8f7d2653e|별로. 어두웠어. 하지만 살인자는 마스크를 쓰고 있었어.
67944b4c-3363-4410-8a2d-fac3710e0da1|뭐라고요?
9da5f34b-f2c1-4f0c-8fb5-f225094ce5d4|그건 이 파티에 있는 대부분의 사람들을 제외할 수 있을 텐데...
553578c7-8acd-4761-9095-415ed949d157|아무 말도 하지 않는다
5f369468-6c2d-4841-95b7-63437ca6b81d|전자레인지에 넣자. 그게 유일한 방법이야.
7cce1b39-cc7f-4dbf-bdb2-96e53401e97c|불로 데워볼 수도 있을 거야.
186a943e-d3cd-4059-b3b4-23fc6a1809f5|건조기에 넣어볼 수도 있겠네.
47ecc9f3-5e7c-414d-87f6-f4e39c3f84af|간다!
cfdb3a53-6aea-4fe3-9f5f-e329d053727f|간다!
944e15c1-4fb3-4d19-9df9-42d37471a29c|우리가 무슨 짓을 하려는 건지 믿을 수가 없어.
295e8b98-d737-4518-ade8-e031153e0603|간다, 내 자기!
6ede9372-395e-4ed2-af47-df486f81fb22|1분 이상 주면 좋겠어!
0a22a500-0f50-4083-931d-855a6837b119|물론이지 하지만...
672c7f0f-e222-47bc-93ed-7b8dbb8bb02e|알았어... 어떻게 도와줄 수 있을까?
82650918-bcb7-4ccb-b2cd-6a2927510495|작동한다!
744072cc-4949-4b41-a42c-3567635870e3|음... 막혔네...
8138a125-8d9c-41c9-b88a-e9e24e4e71cf|아무 말도 하지 않는다
a867464a-081d-45e7-865d-2278dec2cc03|아주 좋아. 어디 보자!
88a7572a-a48e-4ad0-b447-7e77c6d27543|아, 미안해.
3d695220-b9df-4621-b0db-044e6c4b536b|너무 멋져!
0572670a-12cd-4e87-8708-d7eb05839657|알았어.
f9670be3-5498-486d-a6eb-8abdb2ac7318|제가 바로 가서 가져올게요.
f3c2056d-4915-4756-b4bf-34e1a39c143e|당신이 관찰당하는 걸 좋아한다면, 저는 당신을 석양처럼 바라볼 수 있어요, 매일 밤낮으로 저에게 펼쳐지는 석양처럼.
bb2506b1-59ba-4cea-aa4e-59d7b5460fdc|근데 왜 환기 장치죠?
eef1f92d-d935-4773-bd3c-f7d95f3a1864|알아두면 좋겠네!
34ec06f4-643a-4c5b-b33d-51f4e11320d8|훌륭한 생각이야. 고마워, Liz.
a0ee3d31-40f9-43cf-8b58-3785acb548f8|차고에서 단서를 찾았어!
211ddea4-6100-4e47-999e-6cd37603a1ce|따라와.
35b56b5c-a551-45cb-a7b3-4e152ec85b81|내가 뭘 할 수 있는지 보여줄게!
d0ef765b-af7d-4e8c-a5c7-1d0711d12235|따라와.
db4aa939-9e90-427e-bc7e-268ac6d8f4fb|나는 관찰당하는 것에 동의하지 않았어!
b4de0b3a-ca15-4e6f-bb9d-16291a10c2a9|보이지? 나는 좋은 일을 위해 물건을 부수고 있어!
a4c95dff-daea-4725-8a64-3cfcfa2c8adb|오 젠장...
c46934ec-6954-483d-996f-5e2062f3a430|Stephanie가 집이 점점 더워지고 있다고 했어요... 그래서 시원하게 유지하려고 해요.
bf84a350-292a-44aa-8767-bd6948f79a7b|당신은 너무 섹시해서, 당신을 보기만 해도 땀이 줄줄 흘러요.
eeb241d3-2d3a-4778-bade-398f3d0462b9|사실, Stephanie가 집이 점점 더워지고 있다고 했어요... 그래서 침착하려고 노력 중이에요.
40c51e63-7c83-404c-8cfb-7c58ab81b7dc|음... 거꾸로 날고 있었어요...
2f705d26-5bcb-4bdd-becd-035dfa39868d|알았어... 음, 사실, Stephanie가 집이 점점 더워지고 있다고 했어요, 그래서 침착하려고 노력 중이에요.
920fcc99-feea-41bc-84e3-46b776bf9e24|네. Stephanie가 집이 점점 더워지고 있다고 했는데 저도 동의해요.
559f7832-d974-482f-beeb-71b34a3c049b|그런 것 같아? 내 이마에 손 얹어서 확인해 볼래?
2932509a-e92f-4aa7-ac82-12be9bf78cfa|알았어... 사실, Stephanie가 점점 더워진다고 했고 나도 동의해.
20983644-9f63-4760-a3e1-56b0dcaaa4de|알았어... 사실, Stephanie가 점점 더워진다고 했고 나도 동의해.
21bf40b4-4cab-49c9-88ce-f41a5b191d0a|죄송해요? 여기가 점점 더워지는 것 같은데 중요할 수도 있다고 생각했어요.
554193fe-28fd-4f87-8f80-ac5adc14b5a5|아, 아까는 죄송해요. 우리가 함께 일해야 한다고 생각했고, 그 점에 대해 몇 가지 정보를 당신과 공유하고 싶었어요.
5f85fd2c-9157-44a3-ba08-9e40e15249b0|음, 여기가 점점 더워지는 것 같고 중요할 수도 있다고 생각했어요.
24804584-1cde-4af2-995b-6db371691601|네 말이 맞아.
77c70823-1dc2-46fc-96b6-70fb7066f183|Stephanie는 좋은 아이디어를 가지고 있었어: 옷을 한 겹 벗는 거야!
181ef2cf-c40d-4cd9-b695-6236edaf4078|네! 옷 벗자!
