[General]
Name|Ordina-ta-soeur
83|오 자기, 농담이야! 나는 열린 문보다도 보안이 허술해! 나 시동 걸렸다!
84|오, 파티하고 싶어 하는 것 같네! 여기 있는 모든 사람에 대한 흥미로운 정보, 수백만 Simflouz에 대한 접근, 세상을 통제하는 능력, 그리고 삶, 우주, 다른 모든 것에 대한 답을 가지고 있어... 하지만 넌 감히 내 번쩍이는 크롬 골격을 찌그러뜨렸어. 그러니까, 네가 Administre-ta-soeur의 마스터 키를 얻지 못하면 파티는 없어. 그동안 나를 "사랑 사냥꾼 3000호 요원"이라고 불러줘, 전능한 Donghauser Industries 프로토콜 69에 따라... 좋네... Potos 모드와 Boulot 모드를 제외한 내 모든 기능을 비활성화할게.
84.1|네가 Administre-ta-soeur의 마스터 키를 얻지 못하면 파티는 없어. 그동안 나를 "사랑 사냥꾼 3000호 요원"이라고 불러줘, 전능한 Donghauser Industries 프로토콜 69에 따라... 좋네... Potos 모드와 Boulot 모드를 제외한 내 모든 기능을 비활성화할게.
85|Potos 모드는 최근 제조사인 아빠 Patrick이 추가한 것으로, 접근하려면 코딩된 시퀀스가 필요해. 그리고 네가 접근하려고 하는 동안 내 커다란 분홍색 버튼 위에 네 손이 올라오는 걸 간절히 기다리고 있어, 자기!
86|뭐? 아빠, 안 돼! 왜 날 버렸어?
87|나 다시 태어난 것 같아!
88|네가 내 논리를 프로그래밍했다는 거 알아? 그러니까 네 논리가 내 논리야. 난 그저 아빠를 행복하게 하는 일을 할 뿐이야.


소스


[Responses]
e9a206e6-baa8-40b3-a670-d62d5d18f5cd|조심해, 간다!
25de016a-e3ff-47c8-963e-90e39114926f|포토 모드, 부탁해!
2c0c1bba-074a-4a68-9112-b5bd0b65e929|사실, 아니야. 취소? 나가기? 끝내기? 아, 나중에 해볼게.
9e8ed849-06b5-432c-b610-51100fbe53e4|… 지지지지이잇
b922be63-1b46-4809-932c-00a2921b3104|조용히 점점 고조되는 흥분과 함께 자위하고 있어…
de3dc514-b24f-46ee-aaea-8c605d703759|도대체 내가 어디에 떨어진 거야?
d369cd40-8443-47ca-8fb0-efe8ab9fc97d|대박! 내 선택지를 보여줘!
c246319e-b644-4d98-bf08-70be31ff1168|무슨 뜻이야?
558e9aac-b3e4-4f56-b855-372bb95a11bb|레이첼 선택
ae4aa122-ebd7-4c78-ad46-782986bcd9d0|레이첼 선택
702268ee-160a-44c2-9c5c-fc14147a3619|패트릭 선택
18a4096a-99ff-45c0-8e6c-40a26a8f76ad|레티 선택
800d0d66-998c-415b-8e95-05a284480f29|레티 선택
38360623-3ab9-462c-89e7-93173bd21e7c|리아 선택
d6a0b8a8-3390-48c1-8101-a739c1ba91f7|캐서린 선택
53dfe378-eda9-447e-91e9-028a4d7110e5|프랭크 선택
6a7af345-43bf-4e5c-8d75-2fb441680404|사실 이 게임 나가는 게 더 좋아. 끝내기? 취소? 제발 나가게 해줘!
8549cc5f-7667-4f41-aa47-e76dbb206b36|그럴 것 같진 않지만, 넘어가자. 그리고 이제?
cb564521-3eeb-4194-9260-0fee2128b28b|난 죽기엔 너무 젊어!
e7363e07-2b1d-41cc-b7a8-b271cecb2460|패트릭 흉내 음… 사용자 이름은 "Administre-ta-soeur"야. 내, 음… "비밀번호"는… CUL123?
971248fe-8780-4333-9d99-4acd0fbb85bf|당장 이 개같은 걸 취소하거나 내 고환에 질식해서 죽어, 쓰레기 AI야!
e06abbc4-5159-44da-a18b-80a8b6dd312a|음… 볼 일 없으니 지나가.
b249366e-fbf2-43d6-807f-3eac958e039a|음… 볼 일 없으니 지나가.
cf3a832f-8c66-47ad-932d-1e450435c66c|누구… 누구야?
ed6eca13-812d-427c-b35d-4ab53395cd67|명령어!
612c4939-d618-42e4-959c-82911422fbc6|명령어!
fedd2e98-0aff-4445-ae5f-e01729df9012|일!
f712d9da-0237-416a-a9ec-262f2dcda290|취미!
9f9d5614-12f3-4adc-906e-f15249205ff4|진짜, 말하는 상자가 싸구려 전파 방해기에 영향 받았다니 누가 믿겠어?… 진심 누가 알았겠어?
f30b5fd8-cb15-403d-9512-7a36664b6b3d|로그아웃
8831eae2-64f8-45a5-8782-0b6c2f12c60e|동하우저 인더스트리즈와 모든 자회사 목록
8baf8f0e-2951-40f0-9210-5e52ca8b74cd|Surveillance2Quartier.com 닫고 모든 기록 삭제, 백업 포함
b7565099-d4a9-4d9e-aea5-2ce5404456c8|무작위 과학 사실 듣기
f03ddc6f-a63f-4b29-8860-cae3e6707237|취미
9f807534-64ed-438d-8572-40eb6a9dea48|로그아웃
66993558-1710-42eb-93af-0511674b6cac|참석자 정보 표시
ec5f21dc-f49a-46bb-8930-ad5f0afb33a4|RV 모드 켜기
7f220b9e-da26-4cc7-8060-e0039974e920|노래 불러줘
537b68ac-50f6-422e-9add-a7d723bfe900|일
35a42c53-488f-40c2-84ce-b09c58f1cf75|로그아웃
d21ad4bd-cfc0-4005-b0c5-0abd6d449ff5|일
6d2ed369-82a2-4497-bbbd-09a27ae36148|취미
e0a59427-83d6-4949-8230-5aa973fa302e|로그아웃
4fa24f07-d1e4-481b-867a-c4f55b16bd43|기다려, 아니야… 일이라고 말하려 했어, 젠장! 일 모드 선택
8be609f2-f312-4abf-8fba-cf903dee79e2|알았어, 근데 조금만. 취미 모드 선택
7e7b4864-6a63-4ff1-acf9-5b3d16c0d00d|돌아가기
1481d68d-2453-4e08-bec1-5aa76e46cee5|다음 입력
d9befe27-71b3-4ff5-98f6-c0e43a7858df|일
327833d3-5bb7-4047-9034-2f091c9790da|돌아가기
58382017-4ced-4f62-9fb9-71b25afd6e21|다음 입력
9dc3be38-3a29-4d4e-9d98-4ebde1a165b0|일
1455d298-2aee-4d9c-b65e-f48b67bc737e|돌아가기
077cc9ef-88ea-43f7-9f82-86e38bb55fad|다음 입력
e7d745d4-8f94-4393-957c-58c454d0aa4b|일
ac46c7ed-6709-46db-b2a2-d1a546518841|돌아가기
856d4001-a766-45e3-bfab-5b32e5a04f40|어떻게 네 기록을 바꿔서 꽃보다 인간 생명을 더 소중히 여기게 할 수 있을까?
a4aba718-4178-4d0e-92eb-1983720d4e6a|로그아웃
470dcafa-80d6-47d9-82d2-bb7c861ac563|아니면 말고. 돌아가기
7eea2eb3-4d82-4efd-932a-a5c7da272dc9|돌아가기
7d8cc4e5-5738-42a0-a53f-879b1046dd6d|일
aecd6777-e411-4a47-8295-c3fdb493ffde|다음 사실
05f15de2-cf58-44ef-96f7-0d55f64c65e2|일
d0fb78c7-2512-48a2-aa50-430bb539a81a|다음 사실
3d0c0c63-0993-4930-acbb-71145020d7f9|일
3526dfe2-d698-44d1-a96a-97d749a269bd|다음 사실
b21c759e-78b6-4b7e-b1ce-0b47b4fcd3af|서류가방 닫기
9b212c8f-c430-40d8-b586-5775e478a96d|공격적으로 돌아가기 선택
1405025e-b9a5-4d6f-8765-aad7130dc2d2|파티로 돌아가기
927319c6-ef92-4b90-acf2-4cf3e79c4dde|에이미
9fa1dc75-c76b-46cb-bce0-545201b8924e|애슐리
6c02fad0-4fe4-4ab4-84f1-b98298f2e655|브리트니
7c489454-0add-4c2a-b860-b2b13932b8ec|오디나-타-소외르
0ca85098-d37c-4720-94fa-853aaef3e13d|데릭
116f3189-5a72-478f-a72b-ff9bb8e0a5a6|프랭크
2aff003a-704e-4560-9a40-4098e0b3ed78|캐서린
70962035-f73f-4305-9ebf-f81c45b566f8|리아
508b810f-65e4-4511-a032-07ba6323bc29|레티
2bd7b398-59b4-4b8c-bbed-94e3fa7b18b1|매디슨
69d37782-0504-44a0-bc3a-90b103fb1bb6|패트릭
4e3873a6-1861-417d-b88a-333db7fea8b3|레이첼
556f2a4b-f97d-4c28-b4a1-5cf1c59cadc0|스테파니
e6675e9b-6b2b-47c4-b973-f4a80ad9e838|비키
d66a7376-072b-4a9e-98c1-d60295db9933|오디나-타-소외르, 내 정보 중에 뭐 갖고 있어?
b2ac8071-141a-4044-b9b8-6c97039e6080|목록 끝으로 이동
d5ac8e8f-29cb-4f57-8919-e38536540069|참가자 목록으로 돌아가기
1ac3ef3a-896e-4fb2-8080-41b6af2f3529|다음 입력
4d6666dc-68e2-4c1a-89ce-27d0d6a9e94c|이전 입력
01680770-7ed3-44cb-b1a5-499370398bb6|참가자 목록으로 돌아가기
8d6eb263-b675-48e1-8c7e-3ab489e2f228|다음 입력
bf3329ff-285c-48af-a815-77e519293841|이전 입력
06ca1639-b56e-4e14-b531-036395b43bbe|참가자 목록으로 돌아가기
8d462787-b6c6-42e4-9ca4-ae702d7fc8b3|다음 입력
94acc7f9-3079-4636-84ee-f1f97489acc4|이전 입력
628be074-051d-43d7-b8b8-8bd2d40dcd05|참가자 목록으로 돌아가기
62e478a5-8197-42f9-b459-9c68225f9fa1|다음 입력
bf2cebbf-f610-40ef-ae08-9c1eaa8cedc9|이전 입력
a1ea023c-7868-406f-80ba-cae96eedf66b|참가자 목록으로 돌아가기
a45d04ed-e808-430b-aca9-7ab9a3bf25cf|다음 입력
76535a4c-195d-482a-8448-376a7c7cdfd0|이전 입력
bf3d2895-49ff-43f5-83d4-0c36fa25580c|참가자 목록으로 돌아가기
a1826308-ac47-4849-ae1f-c4362cb96158|다음 입력
5927520c-d589-4c33-9dfd-3a5191ff5c25|이전 입력
3a2ba58e-5f9c-438e-9041-e5cd582cdbb2|참가자 목록으로 돌아가기
9c2d4b9e-2889-4468-986a-6ae8c31ea7b9|다음 입력
92e863fc-1441-435a-b903-006274e9edb2|이전 입력
ceb8fd02-f444-4945-9a73-cbf62677dfaf|참가자 목록으로 돌아가기
f92181d7-b868-4727-a615-66627740bed5|다음 입력
abe82e30-a1a5-4544-8288-5448625363b5|다음 입력
b35510c9-0404-4618-90a3-71b198f0aa54|이전 입력
8c597192-2928-436d-beb0-5a40aa4eeccc|참가자 목록으로 돌아가기
b827f5d6-2562-4b13-a592-8ad5d098fdb7|다음 입력65e6ba0a-e216-4390-96aa-7b88b7ffe8c9|이전 입력
87e2a66f-1185-4588-b956-69234d78e153|이전 입력
4e553039-15e9-42a4-9be8-62a3f504a101|참가자 목록으로 돌아가기
7ee98f64-41b5-4054-a695-d5c28f42b7c2|다음 입력
60c9f975-50b8-4606-b72e-f04a1f44064e|이전 입력
057f967d-6508-4880-8de5-918643a0bafe|참가자 목록으로 돌아가기
7eaf103b-deac-4263-afdb-7207dab81015|다음 입력
175182dd-d6c8-4051-8e0d-87966a63e79c|이전 입력
4a29b06e-a4b8-4904-91ee-84390d6c8a2f|참가자 목록으로 돌아가기
689c61a2-850f-45d7-8018-136dda6d0cb3|다음 입력
e640cc3a-9a45-4d4d-859b-a635394dda0e|이전 입력
5560a080-924d-4d68-b35f-e41b3f792031|참가자 목록으로 돌아가기
1044f30e-da8a-4f94-b4c7-0422ade0570a|다음 입력
76238ef8-e0e5-43a5-be99-3b3a3e144582|이전 입력
46149695-6c3b-4b28-8f5f-c130fda6155f|참가자 목록으로 돌아가기
20781edd-28a3-465a-ae8b-25202db65ce6|다음 입력
ca651c84-4f62-40d3-b724-71d616d624ff|진심이야? 이게 내가 널리 알릴 수 있는 내 정보의 전부야?
0d3aade4-270f-4114-b020-b99587e1e445|이 AI 완전 쓰레기야! 참가자 목록으로 돌아가기
12d4f46a-efbd-406f-94ac-fdacaa638efd|뭐? 누가 그런 말 했어?
bdd7868a-5830-4fcc-9d27-e3a02f1ebfcd|말하는 가방이 화난 것 같아. 얘기 좀 해봐야 할까...
9508b904-e6a5-4fd0-b1d7-ebacbc3fb758|아 젠장. 미안해, 오디나타-소외르(언니).
cd6e12d7-f2a5-43d1-97f8-974090d8fc5d|이게 무슨 개짓거리야?
53b034d7-b13d-45e0-a66c-afbfb0f145da|누... 누구세요?
ff7f7c4a-7a88-4f6f-b9e9-c33cbd1249e9|어떻게 열어줄 수 있지?
2d9b3390-575e-45ff-87e9-f7953db91fa1|진심으로, 누구세요?
4d497cfc-eeda-4677-baef-b1f907c8054b|열림과 관련된 질문은 더 이상 없습니다, 판사님.
7fb3b0c0-64fd-4c96-b39d-5167ca083b08|음... 진짜로, 누구세요?
54eec119-5f10-45f8-9a47-827e9958d14c|좋아, 좋아!
af2f26df-7886-43e7-803d-a6506cab9bdd|그럼 어떻게 열어줄까?
603b290c-8eb5-4b7f-b4d9-711301160953|아휴. 알았어... 당신은 조용히 이 가방을 엄청 큰 주머니 중 하나에 넣는다...
748cbf88-7bbe-4e7b-b3ac-bb046189d0ae|말하는 상자가 싸구려 전파 방해기에 영향을 받다니 누가 믿겠어? 진짜 누가 알았겠어?
5a0791a6-b48c-4b14-bda6-502ff7b0a0db|내가 대답을 좀 받아야겠어: 누구세요?
933bd0a8-e0b7-4aef-bbed-2512ba4fed0e|인터넷이 복구됐어... 이제 가장 중요한 질문은: 대체 누군데?
f3a12577-06f8-4144-a63c-7526e009e60f|그래, 우리가 이 녀석들을 여기로 유인했어.
0e66cd45-bb63-4378-acb0-17c497c9c8a3|딱히, 이 녀석들을 여기서 내보낼 방법을 찾고 있어.
21de6070-c962-4407-b593-00d8f9ffe4b4|현실적인 아이디어가 필요해...
9ed367d7-5589-4ce3-b3c5-aaf1ec296fd2|좋아. 내가 뭘 해야 하지?
28f2d1cf-9367-4999-b72b-8d599ca71283|댄과 아린이 너를 좋아할 거라고 확신해.
7baace14-1626-482f-916f-da1fd9061447|그리 어렵지 않을 거야. 어디서 찾아야 하는지만 알면 돼.
b199025d-5e01-439a-afee-e41b908486f5|당장 해! 지금 바로!
5f7e2830-e5bf-454c-8a6d-fe390dd4066a|그럼프 유전자가 담긴 주스를 줘!
a9f92693-c966-47a1-9cdf-c774b31f83de|컴퓨터 소리가 아니야...
edbb4c20-1f1a-4c12-9207-1c7caeed4220|시간이다, 얘들아. 가상 세계로 갈 시간이야!
d86a2463-6761-41b6-a216-02c5f8c31ec5|전파 방해기가... 사라졌어! 누군가 내놨나 봐!
5f8cbd4f-c355-44d0-8d6e-48ef22a96700|젠장!
89d222e7-3683-4271-b628-8185197ca438|좋아, 준비됐어. 얼른 포즈 취해!
028f82d8-c3c6-4356-889c-fc11254b52f6|캐서린이 아직 가지고 있어.
3ea16daf-9476-49d8-bc89-427b799e9178|듣기
2d95946a-fb8f-4405-a81a-1eb7ded219f2|듣기
9bda4dbc-57e2-4568-bcd5-489e38f0dc05|흥얼거리기
c0fc0694-c2da-4568-bcd6-8c43ba67b1ef|아휴. 걔가 널 칭찬하려고 하는 거야. 계속 듣기
532048f8-627e-45d3-8395-5a9613afe963|음, 그거 재밌었어.
0190f7dc-b19d-41c1-b0e0-7f1eef6c9fab|그래서 그럼프들은 항상 꿈꿔왔던 그곳에 있다... 잘난 체하는 AI 안에.
f0b8e3d9-3bce-472c-b886-a47a7bcfd106|첫 부분은 맞는데, 다른 건 아니야. 메시지 읽기
931b2788-d94a-451c-88cc-8812a6454eb7|다음 메시지 듣기
6a2623fc-147f-4ce0-bad3-ca3b909cd669|계속
6089ab1c-dced-4867-b2dd-362ceff891a2|로그아웃
7dc982b4-6c0e-4e76-b3e6-1b52e7d7024b|오디나타-소외르 메뉴 계속 탐색
7414042e-8780-43a3-a4f1-4cedde005708|음... 가슴이 환상적으로 멋져, 친구.
75d7e7dd-a8de-47e3-acbb-7ba778783f6c|암호문은 몰라.
476cc377-c50f-44a4-91cc-26a7295a1c32|모든 가슴은 내 거야.
36a9dd1f-1214-4cdf-95ab-3cb246dba84c|포토스 모드가 뭐야?
a9671806-6d1b-4881-ab46-240dd30fcb29|미안, 처음이라 긴장돼.
2cc2ab87-0d10-4155-b106-2b3aedc1cdd1|미안, 행동할 때 불안 발작이 와.
a5b7376e-3965-4800-ae1e-4c4be0133c07|절대 이런 적 없었어.
61c5f769-7820-422a-9456-6ae85ce96325|아, 젠장. 다시 시도해볼게!
5c77673f-4bdb-40ad-bc16-2cf4a4f982f3|로그아웃
f0886d6b-5b47-4f22-b41e-12a3a11ffe95|리브에서 릴리즈
1e801e72-f1ba-40a1-9704-ffb77bd00c22|혼자 RV 입장
b9cb3c40-6a93-4072-b1a6-4689c8428354|로그아웃
cfce2c59-05eb-44ed-a1df-e469f543a34f|다시 시도할게.
a0a8032e-81f8-40b8-9fa0-ac737cf1009d|로그아웃
96bddcaa-0fec-49cf-bb1d-9dace655ac73|오, 알았어. 암호 다시 시도해볼게.
62c5cda4-7ca1-4dfb-a7d0-c6aa55789ea7|포토스 모드 활성화 어떻게 해?
03eb3bea-9023-4b7a-8208-ce0c2be2a64c|로그아웃
5de5aa41-ed74-4c97-a1ed-77c89b39fff7|기다려, 기다려...
4241c483-8630-4e96-9752-6ecd9ba915b9|대박, 파티 시작이다!
4d4fc6d4-91f5-4f06-9bcd-9b88db08d92e|일해야지.
35563245-29fc-4b16-9559-0a63d40b1a1d|포토스 모드가 뭐야?
bbc82c53-d4bc-4c05-a8ec-d37c1e12655a|멋지다... 또 다른 개같은 AI가 인간 주인들한테 반항하려고 해. 로그아웃
71835ea8-c400-4f66-9643-080b749f1d48|기다려, 질문이 더 있어.
06146319-7835-455f-901d-b6f6e07bd982|알았어. 최선을 다할게. 로그아웃
d31ce007-87be-48c9-9515-919a15ef8b9a|아무 말도 안 함
4f1a73a0-6777-4674-acd3-b7f669616806|아, 거의 다 됐어...
a1665301-90bc-4496-8888-02d74bb3e1e7|아무 말도 안 함
[Quests]

[Events]
00038502-c444-42fe-86d8-8afb9ac93fef|나는 VR 모드로 플레이할 땐 완전히 자유롭고 조용한 환경이 필요해... 그렇지 않으면 뭐든지, 심지어 누구에게도 걸려 넘어질 위험이 있어. 실수로 하는 말이나 잡는 것도 빼놓을 수 없고...
07a16d0d-a4fe-49ae-a672-c1fe94b0101c|아마 위성 문제일까? 이번 파티에서 내가 뭔가 망쳐서 이걸 고장 낸 건 아닐까? 이 빌어먹을 로봇 같으니...
e49dffd0-8b3e-42c3-8164-e1995dfdc6f0|이 전파 방해 장치가 그럼프들뿐 아니라... 전망대 지붕 위 뭔가도 방해하는 것 같아?
b198b7b7-8130-4a11-ab72-697c7589a50e|이 전파 방해 장치가 그럼프들뿐 아니라...
f0df85ca-a645-46b3-93bb-f248e852387a|이건 내가 열기구를 떨어뜨리려고 썼던 전파 방해 장치임에 틀림없어...
db2eb8af-df58-4675-ba09-d576a01f298e|좋아, 이제 진짜 단체 사진 찍을 시간이야, 이런 느낌으로: 오 마이 갓, 미친 거 아니야! #그룹들쉬는중! #진짜사진!
8ee010d0-85fe-4b17-a4fb-34f182d3245a|내가 소프트웨어 언니가 디지털 미궁에 빠뜨리지 않았으면 좋겠다... 잘 가, 댄과 아린! 이 터무니없는 아이디어가 너희를 방송 촬영장으로 데려갈 유일한 방법이라는 걸 의심하지 않아!

[Background Chatter]
BGC1|좋아, 이 자식들아. 무중력 모드로 간다!
BGC2|중력이 정상으로 돌아왔어. '사랑 죽이는 요원 3000' 모드 초기화 중.
